,Label,URL
http://dbs.vote-friend.com/sg?ref=anything,1,http://dbs.vote-friend.com
https://www.reynoldstransfer.com/versa-lift-fork-truck/,0,https://www.reynoldstransfer.com
https://www.halisupportservice.com/Login.php,1,https://www.halisupportservice.com
https://www.signets.com.br/wp-includes/wlwmanifest.xml,0,https://www.signets.com.br
https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true,1,https://docs.google.com
https://www.iwestco.com/virtual-consult/,0,https://www.iwestco.com
https://is.gd/N19JOz,1,https://is.gd
https://httpsservices.runescape.com-ov.ru/,1,https://httpsservices.runescape.com-ov.ru
https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands,1,https://viandjo.com
https://www.millect.com/Plans/tabid/76/Default.aspx,0,https://www.millect.com
https://www.sttas.com/,0,https://www.sttas.com
https://facebookcase1477777.web.app/appeal.html,1,https://facebookcase1477777.web.app
https://www.cytranet.com/category/blog/index.html,0,https://www.cytranet.com
https://oximedica.com/wp-includes/imgs/att.php,1,https://oximedica.com
http://myetherwallets.kr/wallet,1,http://myetherwallets.kr
https://pervouralsk.interra.ru/,0,https://pervouralsk.interra.ru
https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/,1,https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com
https://www.bright-group.ru/team/,0,https://www.bright-group.ru
http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html,1,http://secure285.inmotionhosting.com
https://www.copyright.com/,0,https://www.copyright.com
https://www.inner-calm.co.uk/,0,https://www.inner-calm.co.uk
https://linktr.ee/Midasbuyvip,1,https://linktr.ee
http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php,1,http://abbeyroadmoron.com
https://www.organicgourmetbcn.com/,0,https://www.organicgourmetbcn.com
https://www.three-f.co.jp/contact/,0,https://www.three-f.co.jp
