Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,label
http://dbs.vote-friend.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
https://www.reynoldstransfer.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
https://www.halisupportservice.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
https://www.signets.com.br,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0
https://docs.google.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
https://www.iwestco.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://is.gd,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
https://httpsservices.runescape.com-ov.ru,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
https://viandjo.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1
https://www.millect.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://www.sttas.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://facebookcase1477777.web.app,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1
https://www.cytranet.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://oximedica.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
http://myetherwallets.kr,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
https://pervouralsk.interra.ru,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0
https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
https://www.bright-group.ru,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
http://secure285.inmotionhosting.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
https://www.copyright.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://www.inner-calm.co.uk,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://linktr.ee,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
http://abbeyroadmoron.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
https://www.organicgourmetbcn.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://www.three-f.co.jp,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
