Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,label
http://dbs.vote-friend.com/sg?ref=anything,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
https://www.reynoldstransfer.com/versa-lift-fork-truck/,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
https://www.halisupportservice.com/Login.php,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
https://www.signets.com.br/wp-includes/wlwmanifest.xml,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
https://www.iwestco.com/virtual-consult/,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0
https://is.gd/N19JOz,0,0,0,4,0,0,1,0,1,1,1,1,0,0,0,0,1
https://httpsservices.runescape.com-ov.ru/,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands,0,0,1,5,0,0,0,0,1,1,1,1,0,0,0,0,1
https://www.millect.com/Plans/tabid/76/Default.aspx,0,0,1,4,0,0,0,0,1,1,1,1,0,0,0,0,0
https://www.sttas.com/,0,0,0,3,0,0,1,0,1,1,1,1,0,0,0,0,0
https://facebookcase1477777.web.app/appeal.html,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1
https://www.cytranet.com/category/blog/index.html,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
https://oximedica.com/wp-includes/imgs/att.php,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1
http://myetherwallets.kr/wallet,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
https://pervouralsk.interra.ru/,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
https://www.bright-group.ru/team/,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
https://www.copyright.com/,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
https://www.inner-calm.co.uk/,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
https://linktr.ee/Midasbuyvip,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1
https://www.organicgourmetbcn.com/,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
https://www.three-f.co.jp/contact/,0,0,1,4,0,0,0,0,1,1,1,1,0,0,0,0,0
